county,category
adams,urban
arapahoe,urban
boulder,urban
broomfield,urban
denver,urban
douglas,urban
el paso,urban
jefferson,urban
larimer,urban
mesa,urban
pueblo,urban
teller,urban
weld,urban
alamosa,rural
baca,rural
bent,rural
cheyenne,rural
clear creek,rural
costilla,rural
crowley,rural
custer,rural
delta,rural
dolores,rural
elbert,rural
freemont,rural
garfield,rural
gilpin,rural
hinsdale,rural
huerfano,rural
jackson,rural
kiowa,rural
kit carson,rural
las animas,rural
lincoln,rural
logan,rural
mineral,rural
moffat,rural
montezuma,rural
montrose,rural
morgan,rural
otero,rural
park,rural
phillips,rural
prowers,rural
rio blanco,rural
rio grande,rural
saguache,rural
sedgwick,rural
washington,rural
yuma,rural
archuleta,rural resort
chaffee,rural resort
eagle,rural resort
grand,rural resort
gunnison,rural resort
la plata,rural resort
lake,rural resort
ouray,rural resort
pitkin,rural resort
routt,rural resort
san juan,rural resort
san miguel,rural resort
summit,rural resort
town of estes park,rural resort municipalities 
